chr	haplo	nJ	nOsc	nDel	nIns	nInv
1	0	0	0	0	0	0
1	1	0	0	0	0	0
2	0	0	0	0	0	0
2	1	0	0	0	0	0
3	0	0	0	0	0	0
3	1	0	0	0	0	0
4	0	0	0	0	0	0
4	1	0	0	0	0	0
5	0	0	0	0	0	0
5	1	0	0	0	0	0
6	0	5	4	4	1	0
6	1	0	0	0	0	0
7	0	2	1	2	1	0
7	1	8	1	6	1	0
8	0	2	0	0	2	0
8	1	0	0	0	0	0
9	0	10	6	7	2	1
9	1	13	1	10	5	1
10	0	4	1	1	3	1
10	1	0	0	0	0	0
11	0	2	0	0	2	0
11	1	2	1	2	0	0
12	0	0	0	0	0	0
12	1	5	1	1	1	2
13	0	0	0	0	0	0
13	1	0	0	0	0	0
14	0	26	1	12	12	3
14	1	16	0	7	4	2
15	0	0	0	0	0	0
15	1	0	0	0	0	0
16	0	0	0	0	0	0
16	1	0	0	0	0	0
17	0	18	1	19	0	0
17	1	16	0	9	5	1
18	0	5	0	2	3	0
18	1	0	0	0	0	0
19	0	8	1	5	1	0
19	1	0	0	0	0	0
20	0	2	0	0	2	2
20	1	0	0	0	0	0
21	0	0	0	1	0	0
21	1	7	2	8	1	1
22	0	0	0	0	0	0
22	1	0	0	0	0	0
