chr	haplo	nbp	nOsc	nDel	nIns	nInv
1	0	0.0	0	0	0	0
1	1	0.0	0	0	0	0
2	0	1.0	1	1	1	0
2	1	0.5	0	0	0	0
3	0	1.0	1	2	0	0
3	1	0.5	0	2	0	0
4	0	0.0	0	0	0	0
4	1	0.0	0	0	2	0
5	0	0.0	0	0	0	0
5	1	0.0	0	0	3	1
6	0	8.0	1	7	4	1
6	1	4.0	2	15	10	4
7	0	0.0	0	0	0	0
7	1	0.0	0	0	0	0
8	0	0.0	0	0	0	0
8	1	0.0	2	1	0	2
9	0	0.0	0	0	0	0
9	1	0.0	0	1	6	0
10	0	0.0	0	0	0	0
10	1	0.0	0	0	0	0
11	0	10.0	0	9	12	2
11	1	5.0	0	19	3	3
12	0	0.0	0	0	0	0
12	1	0.0	0	0	0	0
13	0	4.0	3	4	3	2
13	1	2.0	0	1	0	0
14	0	0.0	0	0	0	0
14	1	0.0	0	0	0	0
15	0	0.0	0	0	0	0
15	1	0.0	1	12	1	0
16	0	2.5	0	2	1	0
16	1	1.25	0	2	2	1
17	0	7.0	0	3	6	3
17	1	3.5	2	9	5	5
18	0	0.0	0	0	0	0
18	1	0.0	1	1	1	1
19	0	0.0	0	0	0	0
19	1	0.0	0	0	0	0
20	0	1.0	0	0	2	0
20	1	0.5	2	1	2	2
21	0	0.0	0	0	0	0
21	1	0.0	0	0	0	0
22	0	0.0	0	3	0	0
22	1	0.0	1	6	0	0
