chr	start	end	total_cn
1	0	40000000	0
1	40000000	90000000	2
1	90000000	150000000	0
1	150000000	170000000	2
1	170000000	200000000	3
1	200000000	230000000	2
2	0	20000000	1
2	20000000	230000000	2
3	0	20000000	0
3	20000000	70000000	1
3	70000000	90000000	0
3	90000000	120000000	1
3	120000000	180000000	2
4	0	180000000	2
5	0	20000000	1
5	20000000	30000000	0
5	30000000	170000000	2
6	0	10000000	1
6	10000000	160000000	2
7	0	140000000	2
8	0	130000000	2
9	0	40000000	1
9	40000000	120000000	2
10	0	120000000	2
11	0	120000000	2
12	0	70000000	1
12	70000000	120000000	2
13	0	50000000	1
13	50000000	100000000	2
14	0	90000000	2
15	0	70000000	1
15	70000000	90000000	3
16	0	80000000	2
17	0	10000000	1
17	10000000	50000000	3
17	50000000	70000000	2
18	0	70000000	2
19	0	10000000	0
19	10000000	40000000	1
20	0	50000000	2
21	0	10000000	1
21	10000000	30000000	2
22	0	10000000	1
22	10000000	40000000	2
