chromosome	start	end	total_cn
1	0	165000000	1
1	165000000	240000000	2
2	0	235000000	2
3	0	190000000	2
4	0	185000000	2
5	0	175000000	2
6	0	165000000	2
7	0	20000000	1
7	20000000	30000000	0
7	30000000	65000000	2
7	65000000	85000000	4
7	85000000	105000000	2
7	105000000	125000000	3
7	125000000	135000000	1
7	135000000	150000000	2
8	0	5000000	1
8	5000000	10000000	0
8	10000000	55000000	1
8	55000000	140000000	2
9	0	130000000	2
10	0	125000000	2
11	0	130000000	2
12	0	125000000	2
13	0	45000000	1
13	45000000	60000000	3
13	60000000	65000000	0
13	65000000	85000000	1
13	85000000	105000000	2
14	0	100000000	2
15	0	95000000	2
16	0	85000000	2
17	0	75000000	2
18	0	75000000	2
19	0	50000000	2
20	0	55000000	2
21	0	40000000	2
22	0	45000000	2
