chromosome	start	end	total_cn
1	0	240000000	2
2	0	235000000	2
3	0	190000000	2
4	0	185000000	2
5	0	175000000	2
6	0	165000000	2
7	0	150000000	2
8	0	140000000	2
9	0	25000000	3
9	25000000	130000000	2
10	0	15000000	2
10	15000000	40000000	3
10	40000000	125000000	2
11	0	130000000	2
12	0	125000000	2
13	0	5000000	0
13	5000000	15000000	1
13	15000000	35000000	2
13	35000000	45000000	1
13	45000000	50000000	3
13	50000000	60000000	1
13	60000000	65000000	3
13	65000000	105000000	2
14	0	100000000	2
15	0	95000000	2
16	0	85000000	2
17	0	75000000	2
18	0	40000000	1
18	40000000	75000000	2
19	0	50000000	2
20	0	55000000	2
21	0	40000000	2
22	0	45000000	2
1	0	240000000	2
2	0	235000000	2
3	0	190000000	2
4	0	10000000	1
4	10000000	185000000	2
5	0	175000000	2
6	0	165000000	2
7	0	150000000	2
8	0	140000000	2
9	0	20000000	1
9	20000000	25000000	0
9	25000000	110000000	1
9	110000000	130000000	2
10	0	35000000	2
10	35000000	40000000	1
10	40000000	125000000	2
11	0	130000000	2
12	0	125000000	2
13	0	10000000	0
13	10000000	15000000	1
13	15000000	35000000	3
13	35000000	45000000	1
13	45000000	65000000	3
13	65000000	105000000	2
14	0	100000000	2
15	0	95000000	2
16	0	85000000	2
17	0	30000000	1
17	30000000	75000000	2
18	0	40000000	1
18	40000000	75000000	2
19	0	50000000	2
20	0	55000000	2
21	0	40000000	2
22	0	45000000	2
